issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
CALCITE-6995,Bug,Major,1073,1,67.8788888888889,67.87626333333334,41,3,3,4,1
CALCITE-6992,Bug,Minor,31,1,4.924166666666666,,74,0,0,3,1
CALCITE-6989,Improvement,Major,958,4,40.89083333333333,40.46695861111111,25,0,0,3,1
CALCITE-6988,New Feature,Major,5389,3,38.570277777777775,38.450291666666665,251,13,13,4,1
CALCITE-6986,Bug,Minor,677,6,100.97472222222223,,27,11,11,4,1
CALCITE-6985,New Feature,Major,650,7,222.40666666666667,,208,1,1,5,1
CALCITE-6984,Bug,Minor,374,2,123.07444444444444,,62,54,54,3,1
CALCITE-6983,Bug,Blocker,765,7,125.30638888888889,,76,3,3,3,1
CALCITE-6981,Bug,Minor,402,3,208.2075,0.007995277777777778,136,0,0,4,1
CALCITE-6980,Bug,Minor,1427,1,6.438611111111111,,74,3,3,2,1
CALCITE-6979,Bug,Major,762,1,121.31888888888889,121.27918777777778,118,69,69,4,1
CALCITE-6977,Bug,Major,1276,3,225.8411111111111,,37,1,1,2,1
CALCITE-6975,Improvement,Minor,71,7,160.78416666666666,,6,4,4,3,1
CALCITE-6974,Bug,Major,468,4,65.64972222222222,65.64713166666667,118,2,2,4,1
CALCITE-6973,New Feature,Major,1054,3,114.22555555555556,,204,0,0,4,1
CALCITE-6969,Improvement,Major,251,4,92.80194444444444,92.67104166666667,10,6,6,3,1
CALCITE-6967,Bug,Major,3976,3,110.73972222222223,110.73750833333334,80,2,2,2,1
CALCITE-6966,Improvement,Major,2183,9,65.3175,,542,398,398,6,1
CALCITE-6964,Bug,Minor,158,4,110.05555555555556,,74,1,1,2,1
CALCITE-6961,Bug,Major,1181,1,6.602222222222222,6.527669722222223,39,0,0,4,1
CALCITE-6960,Improvement,Minor,656,1,8.479722222222222,,38,27,27,2,1
CALCITE-6959,Improvement,Major,904,1,7.370555555555556,7.260744444444445,30,0,0,3,1
CALCITE-6958,Bug,Major,741,1,31.554166666666667,31.513109166666666,44,0,0,2,1
CALCITE-6957,Bug,Major,196,6,134.23916666666668,,77,400,77,5,1
CALCITE-6955,Bug,Major,257,1,58.74638888888889,,130,0,0,4,1
CALCITE-6954,Bug,Major,673,3,52.134166666666665,,91,5,5,3,1
CALCITE-6953,Improvement,Minor,84,3,60.533611111111114,,123,7,7,4,1
CALCITE-6949,Bug,Major,1485,3,54.873333333333335,54.66033222222222,67,0,0,2,1
CALCITE-6948,Improvement,Major,1088,11,82.82111111111111,,181,0,0,5,1
CALCITE-6946,New Feature,Major,957,5,480.87305555555554,,4800,1320,1320,56,8
CALCITE-6945,Bug,Major,456,1,96.17666666666666,96.13985722222222,54,53,53,4,1
CALCITE-6944,Bug,Major,3300,11,257.9352777777778,,30,15,15,2,1
CALCITE-6943,Bug,Major,629,3,30.99888888888889,28.40902361111111,5,5,5,2,1
CALCITE-6941,Improvement,Major,1325,1,166.91472222222222,166.81329305555556,34,5,5,2,1
CALCITE-6939,Wish,Minor,1432,11,642.9305555555555,,460,17,17,12,1
CALCITE-6938,Improvement,Major,693,1,153.47333333333333,,158,0,0,2,1
CALCITE-6936,Bug,Minor,552,2,140.29111111111112,,17,33,17,2,1
CALCITE-6934,Bug,Minor,3346,1,163.81277777777777,,16,16,16,12,4
CALCITE-6931,Bug,Critical,734,1,110.02444444444444,109.98393694444445,25,4,4,2,1
CALCITE-6930,New Feature,Major,3403,14,352.9013888888889,,831,0,0,6,1
CALCITE-6927,Improvement,Major,1420,3,389.83,,241,0,0,5,1
CALCITE-6923,Bug,Minor,427,8,318.1177777777778,,35,3,3,5,1
CALCITE-6921,Bug,Minor,1829,4,318.51222222222225,,4,1,1,2,1
CALCITE-6920,Bug,Minor,456,3,7.521388888888889,,40,18,18,7,1
CALCITE-6915,Improvement,Major,1857,2,470.6813888888889,470.5578763888889,92,22,22,1,1
CALCITE-6914,New Feature,Major,982,1,513.3813888888889,,524,0,0,4,1
CALCITE-6913,Bug,Minor,127,1,16.87361111111111,,25,2,2,2,1
CALCITE-6911,Bug,Minor,2040,1,80.76472222222222,,79,15,15,8,1
CALCITE-6910,Bug,Minor,0,2,22.185833333333335,,34,0,0,2,1
CALCITE-6909,Improvement,Major,1182,9,205.41666666666666,205.3936122222222,50,2,2,2,1
CALCITE-6904,Bug,Major,1312,21,447.9147222222222,,107,5,5,8,1
CALCITE-6903,Bug,Major,131,2,45.6675,,46,6,6,2,1
CALCITE-6901,Bug,Major,702,1,13.519722222222223,13.41368611111111,3,3,3,2,1
CALCITE-6900,Improvement,Major,289,3,97.55333333333333,97.54370638888889,17,2,2,2,1
CALCITE-6897,Improvement,Major,51,1,90.27722222222222,,1,1,1,1,1
CALCITE-6895,Task,Major,499,7,44.17111111111111,,4,3,3,2,1
