issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
IVY-1654,Bug,Major,343,3,44.50833333333333,,346,122,122,10,1
IVY-1652,Bug,Major,1678,3,3977.5519444444444,,400,446,400,21,1
IVY-1651,Improvement,Trivial,464,2,5971.596388888889,,84,66,66,33,3
IVY-1650,Bug,Minor,7422,1,6582.738055555556,,60,6,6,12,2
IVY-1649,Bug,Major,7089,4,6583.395555555556,,94,9,9,18,3
IVY-1648,Bug,Major,149,1,0.06861111111111111,,17,2,2,3,1
IVY-1647,Bug,Major,263,3,0.20305555555555554,,59,7,7,3,1
IVY-1642,Bug,Major,1049,2,291.33,,220,45,45,6,1
IVY-1641,Bug,Major,7471,0,943.7013888888889,,9,5,5,3,1
IVY-1632,Bug,Major,607,1,7682.200833333333,,14,1,1,5,3
IVY-1631,Bug,Major,288,0,22.90888888888889,,256,121,121,10,2
IVY-1628,Bug,Major,754,6,73.42055555555555,,109,21,21,2,2
IVY-1626,Task,Major,405,4,1163.1408333333334,,1,0,0,1,1
IVY-1618,Bug,Minor,1725,1,5322.756111111111,,37,2,2,3,1
IVY-1616,Bug,Major,1892,4,11843.61,,94,2,2,4,1
IVY-1615,Improvement,Minor,190,2,12071.3325,,47,9,9,3,1
IVY-1612,Task,Minor,116,1,26459.2475,0.0030277777777777777,2,5,2,2,1
IVY-1610,Bug,Major,665,2,271.4683333333333,,23,3,3,2,1
IVY-1602,Bug,Major,235,5,32.01972222222222,,92,0,0,2,1
IVY-1594,Bug,Major,310,10,1389.3219444444444,,107,33,33,12,5
IVY-1589,Bug,Major,715,3,0.7127777777777777,,4,2,2,1,1
IVY-1588,Bug,Major,1174,4,1.4491666666666667,,164,21,21,6,1
IVY-1586,Bug,Blocker,509,27,9814.681666666667,,124,8,8,6,2
IVY-1580,Bug,Major,3005,8,11333.8325,10466.469618055555,300,10,10,12,1
IVY-1577,Bug,Major,271,5,51.48916666666667,,837,47,47,7,1
IVY-1576,Bug,Major,974,10,308.99888888888887,,76,4,4,10,3
IVY-1575,Bug,Minor,724,1,2.643611111111111,,3,1,1,1,1
IVY-1573,Bug,Major,436,0,794.7341666666666,742.0539097222223,11,7,7,1,1
IVY-1569,Improvement,Major,1077,5,2725.0291666666667,,60,42,42,4,2
IVY-1566,Bug,Major,7341,15,430.6802777777778,,10,2,2,2,1
IVY-1563,Dependency upgrade,Major,363,0,6.488611111111111,,376,349,349,8,2
IVY-1561,Improvement,Minor,874,4,103.04888888888888,,154,2,2,3,1
IVY-1558,Improvement,Major,154,1,0.024722222222222222,,587,145,145,10,1
IVY-1557,Bug,Major,846,3,1739.0241666666666,,144,1,1,3,1
IVY-1555,Bug,Minor,7137,2,1578.5383333333334,,94,23,23,4,2
IVY-1554,Improvement,Critical,868,3,2073.4158333333335,,158,5,5,12,2
IVY-1549,Bug,Major,179,1,1328.4716666666666,,15,7,7,2,1
IVY-1546,Bug,Minor,561,1,12537.101666666667,,0,371,0,4,1
IVY-1545,Bug,Major,6152,7,16417.890277777777,,237,7,7,10,1
IVY-1540,Bug,Major,374,9,13156.208888888888,,202,29,29,11,2
IVY-1539,Bug,Major,2531,2,8252.341944444444,,38,1,1,4,1
IVY-1531,Bug,Major,1073,5,15390.863055555556,,113,28,28,7,3
IVY-1529,Bug,Major,40,1,441.3955555555556,,58,20,20,8,2
IVY-1528,Bug,Critical,297,11,16315.416388888889,,294,1,1,5,2
IVY-1526,Bug,Major,487,12,1509.2727777777777,,207,3,3,6,1
IVY-1522,Bug,Critical,1926,22,17704.4675,,152,42,42,4,3
IVY-1521,Improvement,Minor,162,2,3003.6055555555554,,68,72,68,4,1
IVY-1520,Improvement,Minor,415,1,17973.77472222222,,1,0,0,1,1
IVY-1515,Improvement,Major,469,2,4650.6211111111115,,89,1,1,9,1
